"Codigo del territorio histórico","Código del municipio","Nombre del municipio"
"48","001","Abadiño"
"48","002","Abanto y Ciérvana-Abanto Zierbena"
"48","911","Ajangiz"
"48","912","Alonsotegi"
"48","003","Amorebieta-Etxano"
"48","004","Amoroto"
"48","005","Arakaldo"
"48","006","Arantzazu"
"48","093","Areatza"
"48","009","Arrankudiaga"
"48","914","Arratzu"
"48","010","Arrieta"
"48","011","Arrigorriaga"
"48","023","Artea"
"48","008","Artzentales"
"48","091","Atxondo"
"48","070","Aulesti"
"48","012","Bakio"
"48","090","Balmaseda"
"48","013","Barakaldo"
"48","014","Barrika"
"48","015","Basauri"
"48","092","Bedia"
"48","016","Berango"
"48","017","Bermeo"
"48","018","Berriatua"
"48","019","Berriz"
"48","020","Bilbao"
"48","021","Busturia"
"48","901","Derio"
"48","026","Dima"
"48","027","Durango"
"48","028","Ea"
"48","031","Elantxobe"
"48","032","Elorrio"
"48","902","Erandio"
"48","033","Ereño"
"48","034","Ermua"
"48","079","Errigoiti"
"48","029","Etxebarri"
"48","030","Etxebarria"
"48","906","Forua"
"48","035","Fruiz"
"48","036","Galdakao"
"48","037","Galdames"
"48","038","Gamiz-Fika"
"48","039","Garai"
"48","040","Gatika"
"48","041","Gautegiz Arteaga"
"48","046","Gernika-Lumo"
"48","044","Getxo"
"48","047","Gizaburuaga"
"48","042","Gordexola"
"48","043","Gorliz"
"48","045","Güeñes"
"48","048","Ibarrangelu"
"48","094","Igorre"
"48","049","Ispaster"
"48","910","Iurreta"
"48","050","Izurtza"
"48","022","Karrantza Harana/Valle de Carranza"
"48","907","Kortezubi"
"48","051","Lanestosa"
"48","052","Larrabetzu"
"48","053","Laukiz"
"48","054","Leioa"
"48","057","Lekeitio"
"48","055","Lemoa"
"48","056","Lemoiz"
"48","081","Lezama"
"48","903","Loiu"
"48","058","Mallabia"
"48","059","Mañaria"
"48","060","Markina-Xemein"
"48","061","Maruri-Jatabe"
"48","062","Mendata"
"48","063","Mendexa"
"48","064","Meñaka"
"48","066","Morga"
"48","068","Mundaka"
"48","069","Mungia"
"48","007","Munitibar-Arbatzegi Gerrikaitz"
"48","908","Murueta"
"48","071","Muskiz"
"48","067","Muxika"
"48","909","Nabarniz"
"48","073","Ondarroa"
"48","075","Orozko"
"48","083","Ortuella"
"48","072","Otxandio"
"48","077","Plentzia"
"48","078","Portugalete"
"48","082","Santurtzi"
"48","084","Sestao"
"48","904","Sondika"
"48","085","Sopela"
"48","086","Sopuerta"
"48","076","Sukarrieta"
"48","087","Trucios-Turtzioz"
"48","088","Ubide"
"48","065","Ugao-Miraballes"
"48","089","Urduliz"
"48","074","Urduña/Orduña"
"48","080","Valle de Trápaga-Trapagaran"
"48","095","Zaldibar"
"48","096","Zalla"
"48","905","Zamudio"
"48","097","Zaratamo"
"48","024","Zeanuri"
"48","025","Zeberio"
"48","913","Zierbena"
"48","915","Ziortza-Bolibar"
