"Codigo del territorio histórico","Código del municipio","Nombre del municipio","","",""
"20","001","Abaltzisketa","","",""
"20","002","Aduna","","",""
"20","016","Aia","","",""
"20","003","Aizarnazabal","","",""
"20","004","Albiztur","","",""
"20","005","Alegia","","",""
"20","006","Alkiza","","",""
"20","906","Altzaga","","",""
"20","007","Altzo","","",""
"20","008","Amezketa","","",""
"20","009","Andoain","","",""
"20","010","Anoeta","","",""
"20","011","Antzuola","","",""
"20","012","Arama","","",""
"20","013","Aretxabaleta","","",""
"20","055","Arrasate/Mondragón","","",""
"20","014","Asteasu","","",""
"20","903","Astigarraga","","",""
"20","015","Ataun","","",""
"20","017","Azkoitia","","",""
"20","018","Azpeitia","","",""
"20","904","Baliarrain","","",""
"20","019","Beasain","","",""
"20","020","Beizama","","",""
"20","021","Belauntza","","",""
"20","022","Berastegi","","",""
"20","074","Bergara","","",""
"20","023","Berrobi","","",""
"20","024","Bidania-Goiatz","","",""
"20","029","Deba","","",""
"20","069","Donostia / San Sebastián","","",""
"20","030","Eibar","","",""
"20","031","Elduain","","",""
"20","033","Elgeta","","",""
"20","032","Elgoibar","","",""
"20","067","Errenteria","","",""
"20","066","Errezil","","",""
"20","034","Eskoriatza","","",""
"20","035","Ezkio-Itsaso","","",""
"20","038","Gabiria","","",""
"20","037","Gaintza","","",""
"20","907","Gaztelu","","",""
"20","039","Getaria","","",""
"20","040","Hernani","","",""
"20","041","Hernialde","","",""
"20","036","Hondarribia","","",""
"20","042","Ibarra","","",""
"20","043","Idiazabal","","",""
"20","044","Ikaztegieta","","",""
"20","045","Irun","","",""
"20","046","Irura","","",""
"20","047","Itsasondo","","",""
"20","048","Larraul","","",""
"20","902","Lasarte-Oria","","",""
"20","049","Lazkao","","",""
"20","050","Leaburu","","",""
"20","051","Legazpi","","",""
"20","052","Legorreta","","",""
"20","068","Leintz Gatzaga","","",""
"20","053","Lezo","","",""
"20","054","Lizartza","","",""
"20","901","Mendaro","","",""
"20","057","Mutiloa","","",""
"20","056","Mutriku","","",""
"20","063","Oiartzun","","",""
"20","058","Olaberria","","",""
"20","059","Oñati","","",""
"20","076","Ordizia","","",""
"20","905","Orendain","","",""
"20","060","Orexa","","",""
"20","061","Orio","","",""
"20","062","Ormaiztegi","","",""
"20","064","Pasaia","","",""
"20","070","Segura","","",""
"20","065","Soraluze-Placencia de las Armas","","",""
"20","071","Tolosa","","",""
"20","072","Urnieta","","",""
"20","077","Urretxu","","",""
"20","073","Usurbil","","",""
"20","075","Villabona","","",""
"20","078","Zaldibia","","",""
"20","079","Zarautz","","",""
"20","025","Zegama","","",""
"20","026","Zerain","","",""
"20","027","Zestoa","","",""
"20","028","Zizurkil","","",""
"20","081","Zumaia","","",""
"20","080","Zumarraga","","",""
