"﻿Codigo del territorio histórico","Código del municipio","Nombre del municipio"
"01","051","Agurain/Salvatierra"
"01","001","Alegría-Dulantzi"
"01","002","Amurrio"
"01","049","Añana"
"01","003","Aramaio"
"01","006","Armiñón"
"01","037","Arraia-Maeztu"
"01","008","Arratzua-Ubarrundia"
"01","004","Artziniega"
"01","009","Asparrena"
"01","010","Ayala/Aiara"
"01","011","Baños de Ebro/Mañueta"
"01","013","Barrundia"
"01","014","Berantevilla"
"01","016","Bernedo"
"01","017","Campezo/Kanpezu"
"01","021","Elburgo/Burgelu"
"01","022","Elciego"
"01","023","Elvillar/Bilar"
"01","046","Erriberagoitia/Ribera Alta"
"01","056","Harana/Valle de Arana"
"01","901","Iruña Oka/Iruña de Oca"
"01","027","Iruraiz-Gauna"
"01","019","Kripan"
"01","020","Kuartango"
"01","028","Labastida/Bastida"
"01","030","Lagrán"
"01","031","Laguardia"
"01","032","Lanciego/Lantziego"
"01","902","Lantarón"
"01","033","Lapuebla de Labarca"
"01","036","Laudio/Llodio"
"01","058","Legutio"
"01","034","Leza"
"01","039","Moreda de Álava/Moreda Araba"
"01","041","Navaridas"
"01","042","Okondo"
"01","043","Oyón-Oion"
"01","044","Peñacerrada-Urizaharra"
"01","047","Ribera Baja/Erribera Beitia"
"01","052","Samaniego"
"01","053","San Millán/Donemiliaga"
"01","054","Urkabustaiz"
"01","055","Valdegovía/Gaubea"
"01","057","Villabuena de Álava/Eskuernaga"
"01","059","Vitoria-Gasteiz"
"01","060","Yécora/Iekora"
"01","061","Zalduondo"
"01","062","Zambrana"
"01","018","Zigoitia"
"01","063","Zuia"
"48","001","Abadiño"
"48","002","Abanto y Ciérvana-Abanto Zierbena"
"48","911","Ajangiz"
"48","912","Alonsotegi"
"48","003","Amorebieta-Etxano"
"48","004","Amoroto"
"48","005","Arakaldo"
"48","006","Arantzazu"
"48","093","Areatza"
"48","009","Arrankudiaga"
"48","914","Arratzu"
"48","010","Arrieta"
"48","011","Arrigorriaga"
"48","023","Artea"
"48","008","Artzentales"
"48","091","Atxondo"
"48","070","Aulesti"
"48","012","Bakio"
"48","090","Balmaseda"
"48","013","Barakaldo"
"48","014","Barrika"
"48","015","Basauri"
"48","092","Bedia"
"48","016","Berango"
"48","017","Bermeo"
"48","018","Berriatua"
"48","019","Berriz"
"48","020","Bilbao"
"48","021","Busturia"
"48","901","Derio"
"48","026","Dima"
"48","027","Durango"
"48","028","Ea"
"48","031","Elantxobe"
"48","032","Elorrio"
"48","902","Erandio"
"48","033","Ereño"
"48","034","Ermua"
"48","079","Errigoiti"
"48","029","Etxebarri"
"48","030","Etxebarria"
"48","906","Forua"
"48","035","Fruiz"
"48","036","Galdakao"
"48","037","Galdames"
"48","038","Gamiz-Fika"
"48","039","Garai"
"48","040","Gatika"
"48","041","Gautegiz Arteaga"
"48","046","Gernika-Lumo"
"48","044","Getxo"
"48","047","Gizaburuaga"
"48","042","Gordexola"
"48","043","Gorliz"
"48","045","Güeñes"
"48","048","Ibarrangelu"
"48","094","Igorre"
"48","049","Ispaster"
"48","910","Iurreta"
"48","050","Izurtza"
"48","022","Karrantza Harana/Valle de Carranza"
